date	accum	weighted_start_date	invested	total_invested	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-07-20	6,540,828,337.25	2025-10-03	$0.00	$142,397.90	Avalanche	0.704802	$64,080.00	$45,163.73	53.92%	581.62	409.93	20.8158	$1,854.38	$38,600.36	46.08%	18.6520	388.26	798.18	104.35	$83,764.08	$3,475.54	$12,548.47	$96,312.55	$81,338.82	$14,973.73	8.81%	11.11%
2026-07-08	6,540,828,337.25	2025-10-03	$0.00	$142,397.90	Avalanche	0.286952	$61,870.00	$17,753.73	21.61%	581.62	166.90	37.0588	$1,737.85	$64,402.63	78.39%	18.6520	691.22	858.12	110.66	$82,156.36	$26.90	$9,072.92	$91,229.28	$78,166.96	$13,062.33	6.37%	8.38%
2026-05-08	6,540,828,337.25	2025-10-03	-$10,298.66	$142,397.90	Avalanche	0.291622	$81,028.00	$23,629.56	21.53%	581.62	169.61	36.9073	$2,332.96	$86,103.24	78.47%	18.6520	688.40	858.01	110.66	$109,732.81	$2,075.68	$9,046.02	$118,778.83	$102,768.69	$16,010.14	6.35%	10.71%
2026-04-09	7,016,111,440.87	2025-10-18	$210.77	$152,696.56	Avalanche	0.557282	$70,914.00	$39,519.09	36.15%	581.62	324.13	32.0294	$2,179.15	$69,796.95	63.85%	18.6520	597.41	921.54	119.64	$109,316.04	$0.00	$6,970.34	$116,286.38	$90,899.10	$25,387.29	4.56%	9.63%
2026-04-03	7,006,390,717.86	2025-10-17	$14,068.74	$152,485.80	Avalanche	0.555800	$67,034.00	$37,257.47	36.06%	581.62	323.26	31.9810	$2,065.43	$66,054.43	63.94%	18.6520	596.51	919.77	119.72	$103,311.90	$0.00	$6,970.34	$110,282.24	$85,846.56	$24,435.68	4.57%	9.98%
2026-03-03	6,357,610,738.61	2025-09-30	$0.00	$138,417.06	Avalanche	0.373667	$68,191.00	$25,480.74	29.33%	581.62	217.33	31.0806	$1,975.29	$61,393.15	70.67%	18.6520	579.72	797.05	110.37	$86,873.89	$204.58	$6,970.34	$93,844.23	$78,403.24	$15,440.99	5.04%	12.00%
2026-03-01	6,357,610,738.61	2025-09-30	$0.00	$138,417.06	Avalanche	0.401549	$66,869.00	$26,851.18	30.83%	581.62	233.55	30.1433	$1,998.14	$60,230.56	69.17%	18.6520	562.23	795.78	110.42	$87,081.74	$0.00	$6,765.76	$93,847.50	$77,277.79	$16,569.71	4.89%	11.80%
2026-02-28	6,357,610,738.61	2025-09-30	$0.00	$138,417.06	Avalanche	0.427649	$66,351.00	$28,374.94	33.17%	581.62	248.73	29.2610	$1,953.96	$57,174.87	66.83%	18.6520	545.78	794.51	110.46	$85,549.81	$552.86	$6,765.76	$92,315.57	$76,493.96	$15,821.61	4.89%	11.88%
2026-02-27	6,357,610,738.61	2025-09-30	$11,351.58	$138,417.06	Avalanche	0.357401	$68,429.00	$24,456.62	27.96%	581.62	207.87	31.7112	$1,987.48	$63,025.28	72.04%	18.6520	591.48	799.35	110.54	$87,481.90	$73.70	$6,212.90	$93,694.81	$78,711.05	$14,983.76	4.49%	10.98%
2026-02-21	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.295854	$68,429.00	$20,245.02	26.59%	581.62	172.07	28.1249	$1,987.48	$55,897.58	73.41%	18.6520	524.59	696.66	111.91	$76,142.60	$0.00	$6,139.20	$82,281.81	$78,711.05	$3,570.75	4.83%	11.27%
